Institution,City,State,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"Platt College-Riverside",Riverside,California,33.99504,-117.373184,1,place,,,"Riverside, CA 92501",,,,,Riverside,CA,"Riverside County",92501,US,"TIGER/Line® from the US Census Bureau",,
"Regis University",Denver,Colorado,39.760189,-104.996553,1,place,,,"Denver, CO 80202",,,,,Denver,CO,"Denver County",80202,US,"TIGER/Line® from the US Census Bureau",,
"Colorado State University Pueblo",Pueblo,Colorado,38.293234,-104.536493,1,place,,,"Pueblo, CO 81001",,,,,Pueblo,CO,"Pueblo County",81001,US,"TIGER/Line® from the US Census Bureau",,
"Platt College-Aurora","Greenwood Village",Colorado,39.645995,-105.011411,1,place,,,"Greenwood Village, CO 80110",,,,,"Greenwood Village",CO,"Arapahoe County",80110,US,"TIGER/Line® from the US Census Bureau",,
"University of Saint Joseph","West Hartford",Connecticut,41.7612,-72.67846,0.9,street_center,"West St",,"Hartford, CT 06106",,"West St",,,Hartford,CT,"Capitol Planning Region",06106,US,"TIGER/Line® from the US Census Bureau",gcod_uss5c9ybxfuavw34,
"Wilmington University","New Castle",Delaware,39.592895,-75.651466,1,place,,,"New Castle, DE 19720",,,,,"New Castle",DE,"New Castle County",19720,US,"TIGER/Line® from the US Census Bureau",,
"Howard University",Washington,"District of
Columbia",38.911936,-77.016719,1,place,,,"Washington, DC 20001",,,,,Washington,DC,"District of Columbia",20001,US,"TIGER/Line® from the US Census Bureau",,
"Barry University",Miami,Florida,25.558428,-80.458168,1,place,,,"Miami, FL 33234",,,,,Miami,FL,"Miami-Dade County",33234,US,"TIGER/Line® from the US Census Bureau",,
"University of Central Florida",Orlando,Florida,28.545179,-81.373291,1,place,,,"Orlando, FL 32801",,,,,Orlando,FL,"Orange County",32801,US,"TIGER/Line® from the US Census Bureau",,
"Chipola College",Marianna,Florida,30.799574,-85.229347,1,place,,,"Marianna, FL 32446",,,,,Marianna,FL,"Jackson County",32446,US,"TIGER/Line® from the US Census Bureau",,
