Institution,City,State,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"Trocaire College",Buffalo,"New York",42.89606,-78.886424,1,place,,,"Buffalo, NY 14201",,,,,Buffalo,NY,"Erie County",14201,US,"TIGER/Line® from the US Census Bureau",,
"Cabarrus College of Health Sciences",Concord,"North Carolina",35.371633,-80.562141,1,place,,,"Concord, NC 28025",,,,,Concord,NC,"Cabarrus County",28025,US,"TIGER/Line® from the US Census Bureau",,
"Sampson Community College",Clinton,"North Carolina",35.006676,-78.415415,1,place,,,"Clinton, NC 28328",,,,,Clinton,NC,"Sampson County",28328,US,"TIGER/Line® from the US Census Bureau",,
"Winston-Salem State University",Winston-Salem,"North Carolina",36.111102,-80.200493,1,place,,,"Winston Salem, NC 27101",,,,,"Winston Salem",NC,"Forsyth County",27101,US,"TIGER/Line® from the US Census Bureau",,
"NASCAR Technical Institute",Mooresville,"North Carolina",35.58458,-80.778871,1,place,,,"Mooresville, NC 28115",,,,,Mooresville,NC,"Iredell County",28115,US,"TIGER/Line® from the US Census Bureau",,
"MyComputerCareer at Raleigh",Raleigh,"North Carolina",35.773632,-78.634457,1,place,,,"Raleigh, NC 27601",,,,,Raleigh,NC,"Wake County",27601,US,"TIGER/Line® from the US Census Bureau",,
"Turtle Mountain Community College",Belcourt,"North Dakota",48.777557,-99.799919,1,place,,,"Belcourt, ND 58316",,,,,Belcourt,ND,"Rolette County",58316,US,"TIGER/Line® from the US Census Bureau",,
"Aultman College of Nursing and Health Sciences",Canton,Ohio,40.79979,-81.375811,1,place,,,"Canton, OH 44702",,,,,Canton,OH,"Stark County",44702,US,"TIGER/Line® from the US Census Bureau",,
"Bowling Green State University-Firelands",Huron,Ohio,41.375658,-82.538619,1,place,,,"Huron, OH 44839",,,,,Huron,OH,"Erie County",44839,US,"TIGER/Line® from the US Census Bureau",,
"The Christ College of Nursing and Health Sciences",Cincinnati,Ohio,39.166759,-84.53822,1,place,,,"Cincinnati, OH 45201",,,,,Cincinnati,OH,"Hamilton County",45201,US,"TIGER/Line® from the US Census Bureau",,
"University of Cincinnati-Clermont College",Batavia,Ohio,39.025905,-84.157048,1,place,,,"Batavia, OH 45103",,,,,Batavia,OH,"Clermont County",45103,US,"TIGER/Line® from the US Census Bureau",,
"University of Cincinnati-Blue Ash College","Blue Ash",Ohio,40.41493,-82.711998,1,state,,,OH,,,,,,OH,,,US,"TIGER/Line® from the US Census Bureau",,
"Franklin University",Columbus,Ohio,40.100924,-83.013402,1,place,,,"Columbus, OH 43085",,,,,Columbus,OH,"Franklin County",43085,US,"TIGER/Line® from the US Census Bureau",,
"Good Samaritan College of Nursing and Health Science",Cincinnati,Ohio,39.166759,-84.53822,1,place,,,"Cincinnati, OH 45201",,,,,Cincinnati,OH,"Hamilton County",45201,US,"TIGER/Line® from the US Census Bureau",,
"Hocking College",Nelsonville,Ohio,39.45868,-82.23182,1,place,,,"Nelsonville, OH 45764",,,,,Nelsonville,OH,"Athens County",45764,US,"TIGER/Line® from the US Census Bureau",,
"Hondros College of Nursing",Westerville,Ohio,40.10447,-82.896457,1,place,,,"Westerville, OH 43081",,,,,Westerville,OH,"Franklin County",43081,US,"TIGER/Line® from the US Census Bureau",,
"Kent State University at East Liverpool","East Liverpool",Ohio,40.677372,-80.600629,1,place,,,"East Liverpool, OH 43920",,,,,"East Liverpool",OH,"Columbiana County",43920,US,"TIGER/Line® from the US Census Bureau",,
"Kent State University at Stark","North Canton",Ohio,40.699991,-80.886068,0.51,street_center,"North St",,"Kensington, OH 44427",,"North St",,,Kensington,OH,"Columbiana County",44427,US,"TIGER/Line® from the US Census Bureau",gcod_uss2gqugjtmcbxyf,
"Kent State University at Trumbull",Warren,Ohio,41.176641,-80.902344,1,place,,,"Warren, OH 44481",,,,,Warren,OH,"Trumbull County",44481,US,"TIGER/Line® from the US Census Bureau",,
"Kent State University at Tuscarawas","New Philadelphia",Ohio,40.48979,-81.44567,1,place,,,"New Philadelphia, OH 44663",,,,,"New Philadelphia",OH,"Tuscarawas County",44663,US,"TIGER/Line® from the US Census Bureau",,
"Kent State University at Salem",Salem,Ohio,40.90089,-80.85675,1,place,,,"Salem, OH 44460",,,,,Salem,OH,"Columbiana County",44460,US,"TIGER/Line® from the US Census Bureau",,
"Marion Technical College",Marion,Ohio,40.584028,-83.101687,1,place,,,"Marion, OH 43302",,,,,Marion,OH,"Marion County",43302,US,"TIGER/Line® from the US Census Bureau",,
"Mercy College of Ohio",Toledo,Ohio,41.720684,-83.569359,1,place,,,"Toledo, OH 43601",,,,,Toledo,OH,"Lucas County",43601,US,"TIGER/Line® from the US Census Bureau",,
"Mount Carmel College of Nursing",Columbus,Ohio,40.100924,-83.013402,1,place,,,"Columbus, OH 43085",,,,,Columbus,OH,"Franklin County",43085,US,"TIGER/Line® from the US Census Bureau",,
"Ohio State University-Lima Campus",Lima,Ohio,40.772147,-84.0471,1,place,,,"Lima, OH 45801",,,,,Lima,OH,"Allen County",45801,US,"TIGER/Line® from the US Census Bureau",,
"Ohio State University-Mansfield Campus",Mansfield,Ohio,40.762711,-82.51189,1,place,,,"Mansfield, OH 44902",,,,,Mansfield,OH,"Richland County",44902,US,"TIGER/Line® from the US Census Bureau",,
"Ohio State University-Newark Campus",Newark,Ohio,40.119897,-82.377784,1,place,,,"Newark, OH 43055",,,,,Newark,OH,"Licking County",43055,US,"TIGER/Line® from the US Census Bureau",,
"Ohio University-Chillicothe Campus",Chillicothe,Ohio,39.337384,-82.991332,1,place,,,"Chillicothe, OH 45601",,,,,Chillicothe,OH,"Ross County",45601,US,"TIGER/Line® from the US Census Bureau",,
"Ohio University-Southern Campus",Ironton,Ohio,38.53675,-82.68294,1,place,,,"Ironton, OH 45638",,,,,Ironton,OH,"Lawrence County",45638,US,"TIGER/Line® from the US Census Bureau",,
"Ohio University-Main Campus",Athens,Ohio,39.339279,-82.013803,1,place,,,"Athens, OH 45701",,,,,Athens,OH,"Athens County",45701,US,"TIGER/Line® from the US Census Bureau",,
"Ohio University-Zanesville Campus",Zanesville,Ohio,39.927415,-82.004058,1,place,,,"Zanesville, OH 43701",,,,,Zanesville,OH,"Muskingum County",43701,US,"TIGER/Line® from the US Census Bureau",,
"Professional Skills Institute",Maumee,Ohio,41.571251,-83.685036,1,place,,,"Maumee, OH 43537",,,,,Maumee,OH,"Lucas County",43537,US,"TIGER/Line® from the US Census Bureau",,
"Shawnee State University",Portsmouth,Ohio,38.793214,-82.930576,1,place,,,"Portsmouth, OH 45662",,,,,Portsmouth,OH,"Scioto County",45662,US,"TIGER/Line® from the US Census Bureau",,
"Ursuline College","Pepper Pike",Ohio,41.478387,-81.46373,1,place,,,"Pepper Pike, OH 44124",,,,,"Pepper Pike",OH,"Cuyahoga County",44124,US,"TIGER/Line® from the US Census Bureau",,
"MyComputerCareer at Columbus",Columbus,Ohio,40.100924,-83.013402,1,place,,,"Columbus, OH 43085",,,,,Columbus,OH,"Franklin County",43085,US,"TIGER/Line® from the US Census Bureau",,
"Chamberlain University-Ohio",Columbus,Ohio,40.100924,-83.013402,1,place,,,"Columbus, OH 43085",,,,,Columbus,OH,"Franklin County",43085,US,"TIGER/Line® from the US Census Bureau",,
"Athena Career Academy",Toledo,Ohio,41.720684,-83.569359,1,place,,,"Toledo, OH 43601",,,,,Toledo,OH,"Lucas County",43601,US,"TIGER/Line® from the US Census Bureau",,
"Oklahoma Wesleyan University",Bartlesville,Oklahoma,36.728272,-96.067573,1,place,,,"Bartlesville, OK 74003",,,,,Bartlesville,OK,"Osage County",74003,US,"TIGER/Line® from the US Census Bureau",,
"Southern Nazarene University",Bethany,Oklahoma,35.51867,-97.63226,1,place,,,"Bethany, OK 73008",,,,,Bethany,OK,"Oklahoma County",73008,US,"TIGER/Line® from the US Census Bureau",,
"Connors State College",Warner,Oklahoma,35.49426,-95.30552,1,place,,,"Warner, OK 74469",,,,,Warner,OK,"Muskogee County",74469,US,"TIGER/Line® from the US Census Bureau",,
"Murray State College",Tishomingo,Oklahoma,34.275856,-96.655188,1,place,,,"Tishomingo, OK 73460",,,,,Tishomingo,OK,"Johnston County",73460,US,"TIGER/Line® from the US Census Bureau",,
"Northeastern State University",Tahlequah,Oklahoma,35.911304,-94.911331,1,place,,,"Tahlequah, OK 74464",,,,,Tahlequah,OK,"Cherokee County",74464,US,"TIGER/Line® from the US Census Bureau",,
"Northern Oklahoma College",Tonkawa,Oklahoma,36.67837,-97.31004,1,place,,,"Tonkawa, OK 74653",,,,,Tonkawa,OK,"Kay County",74653,US,"TIGER/Line® from the US Census Bureau",,
"Northeastern Oklahoma A&M College",Miami,Oklahoma,36.842401,-94.854482,1,place,,,"Miami, OK 74354",,,,,Miami,OK,"Ottawa County",74354,US,"TIGER/Line® from the US Census Bureau",,
"Oklahoma State University Institute of Technology",Okmulgee,Oklahoma,35.612514,-95.966857,1,place,,,"Okmulgee, OK 74447",,,,,Okmulgee,OK,"Okmulgee County",74447,US,"TIGER/Line® from the US Census Bureau",,
"ATA College",Tulsa,Oklahoma,36.063095,-95.804231,1,place,,,"Tulsa, OK 74102",,,,,Tulsa,OK,"Tulsa County",74102,US,"TIGER/Line® from the US Census Bureau",,
"Sumner College",Portland,Oregon,45.507856,-122.690794,1,place,,,"Portland, OR 97201",,,,,Portland,OR,"Multnomah County",97201,US,"TIGER/Line® from the US Census Bureau",,
"Linfield University",McMinnville,Oregon,45.187444,-123.237145,1,place,,,"McMinnville, OR 97128",,,,,McMinnville,OR,"Yamhill County",97128,US,"TIGER/Line® from the US Census Bureau",,
"Rogue Community College","Grants Pass",Oregon,42.535654,-123.338332,1,place,,,"Grants Pass, OR 97526",,,,,"Grants Pass",OR,"Josephine County",97526,US,"TIGER/Line® from the US Census Bureau",,
"Alvernia University",Reading,Pennsylvania,40.357242,-75.940153,1,place,,,"Reading, PA 19601",,,,,Reading,PA,"Berks County",19601,US,"TIGER/Line® from the US Census Bureau",,
"Carlow University",Pittsburgh,Pennsylvania,40.47441,-79.950968,1,place,,,"Pittsburgh, PA 15201",,,,,Pittsburgh,PA,"Allegheny County",15201,US,"TIGER/Line® from the US Census Bureau",,
"Gwynedd Mercy University","Gwynedd Valley",Pennsylvania,40.181054,-75.257855,1,place,,,"Gwynedd Valley, PA 19437",,,,,"Gwynedd Valley",PA,"Montgomery County",19437,US,"TIGER/Line® from the US Census Bureau",,
"Holy Family University",Philadelphia,Pennsylvania,40.001811,-75.11787,1,place,,,"Philadelphia, PA 19101",,,,,Philadelphia,PA,"Philadelphia County",19101,US,"TIGER/Line® from the US Census Bureau",,
"Indiana University of Pennsylvania-Main Campus",Indiana,Pennsylvania,40.621272,-79.080422,1,place,,,"Indiana, PA 15701",,,,,Indiana,PA,"Indiana County",15701,US,"TIGER/Line® from the US Census Bureau",,
"Johnson College",Scranton,Pennsylvania,41.410079,-75.666784,1,place,,,"Scranton, PA 18503",,,,,Scranton,PA,"Lackawanna County",18503,US,"TIGER/Line® from the US Census Bureau",,
"La Salle University",Philadelphia,Pennsylvania,40.001811,-75.11787,1,place,,,"Philadelphia, PA 19101",,,,,Philadelphia,PA,"Philadelphia County",19101,US,"TIGER/Line® from the US Census Bureau",,
"Pennsylvania State University-Penn State Shenango",Sharon,Pennsylvania,41.23311,-80.4934,1,place,,,"Sharon, PA 16146",,,,,Sharon,PA,"Mercer County",16146,US,"TIGER/Line® from the US Census Bureau",,
"Pennsylvania State University-Penn State Wilkes-Barre",Dallas,Pennsylvania,41.346088,-75.98638,1,place,,,"Dallas, PA 18612",,,,,Dallas,PA,"Luzerne County",18612,US,"TIGER/Line® from the US Census Bureau",,
"Pennsylvania State University-Penn State Scranton",Dunmore,Pennsylvania,41.419969,-75.603975,1,place,,,"Dunmore, PA 18512",,,,,Dunmore,PA,"Lackawanna County",18512,US,"TIGER/Line® from the US Census Bureau",,
"Pennsylvania State University-Penn State Lehigh Valley","Center Valley",Pennsylvania,40.543998,-75.41242,1,place,,,"Center Valley, PA 18034",,,,,"Center Valley",PA,"Lehigh County",18034,US,"TIGER/Line® from the US Census Bureau",,
"Pennsylvania State University-Penn State Beaver",Monaca,Pennsylvania,40.68729,-80.27145,1,place,,,"Monaca, PA 15061",,,,,Monaca,PA,"Beaver County",15061,US,"TIGER/Line® from the US Census Bureau",,
"Pennsylvania State University-Penn State Berks",Reading,Pennsylvania,40.357242,-75.940153,1,place,,,"Reading, PA 19601",,,,,Reading,PA,"Berks County",19601,US,"TIGER/Line® from the US Census Bureau",,
"Pennsylvania State University-Penn State Brandywine",Media,Pennsylvania,39.918804,-75.399118,1,place,,,"Media, PA 19063",,,,,Media,PA,"Delaware County",19063,US,"TIGER/Line® from the US Census Bureau",,
"Pennsylvania State University-Penn State Hazleton",Hazleton,Pennsylvania,40.947134,-75.957126,1,place,,,"Hazleton, PA 18201",,,,,Hazleton,PA,"Luzerne County",18201,US,"TIGER/Line® from the US Census Bureau",,
"Pennsylvania State University-Penn State Greater Allegheny",McKeesport,Pennsylvania,40.338789,-79.796072,1,place,,,"McKeesport, PA 15131",,,,,McKeesport,PA,"Allegheny County",15131,US,"TIGER/Line® from the US Census Bureau",,
"Pennsylvania State University-Penn State Abington",Abington,Pennsylvania,40.123805,-75.114767,1,place,,,"Abington, PA 19001",,,,,Abington,PA,"Montgomery County",19001,US,"TIGER/Line® from the US Census Bureau",,
"Pennsylvania State University-Penn State Schuylkill","Schuylkill Haven",Pennsylvania,40.63065,-76.17105,1,place,,,"Schuylkill Haven, PA 17972",,,,,"Schuylkill Haven",PA,"Schuylkill County",17972,US,"TIGER/Line® from the US Census Bureau",,
"Pennsylvania State University-Penn State York",York,Pennsylvania,39.962998,-76.727139,1,place,,,"York, PA 17401",,,,,York,PA,"York County",17401,US,"TIGER/Line® from the US Census Bureau",,
"University of Pittsburgh-Bradford",Bradford,Pennsylvania,41.9559,-78.64392,1,place,,,"Bradford, PA 16701",,,,,Bradford,PA,"McKean County",16701,US,"TIGER/Line® from the US Census Bureau",,
"University of Pittsburgh-Greensburg",Greensburg,Pennsylvania,40.315028,-79.535741,1,place,,,"Greensburg, PA 15601",,,,,Greensburg,PA,"Westmoreland County",15601,US,"TIGER/Line® from the US Census Bureau",,
"University of Pittsburgh-Johnstown",Johnstown,Pennsylvania,40.328742,-78.914292,1,place,,,"Johnstown, PA 15901",,,,,Johnstown,PA,"Cambria County",15901,US,"TIGER/Line® from the US Census Bureau",,
"Pittsburgh Institute of Aeronautics","West Mifflin",Pennsylvania,40.362505,-79.898389,1,place,,,"West Mifflin, PA 15122",,,,,"West Mifflin",PA,"Allegheny County",15122,US,"TIGER/Line® from the US Census Bureau",,
"Thaddeus Stevens College of Technology",Lancaster,Pennsylvania,40.076553,-76.31068,1,place,,,"Lancaster, PA 17601",,,,,Lancaster,PA,"Lancaster County",17601,US,"TIGER/Line® from the US Census Bureau",,
"Temple University",Philadelphia,Pennsylvania,40.001811,-75.11787,1,place,,,"Philadelphia, PA 19101",,,,,Philadelphia,PA,"Philadelphia County",19101,US,"TIGER/Line® from the US Census Bureau",,
"Pennsylvania College of Technology",Williamsport,Pennsylvania,41.345045,-76.857256,1,place,,,"Williamsport, PA 17701",,,,,Williamsport,PA,"Lycoming County",17701,US,"TIGER/Line® from the US Census Bureau",,
"Pennsylvania College of Health Sciences",Lancaster,Pennsylvania,40.076553,-76.31068,1,place,,,"Lancaster, PA 17601",,,,,Lancaster,PA,"Lancaster County",17601,US,"TIGER/Line® from the US Census Bureau",,
"Triangle Tech Inc-Sunbury",Sunbury,Pennsylvania,40.869766,-76.735577,1,place,,,"Sunbury, PA 17801",,,,,Sunbury,PA,"Northumberland County",17801,US,"TIGER/Line® from the US Census Bureau",,
"PITC Institute",Wyncote,Pennsylvania,40.08561,-75.151569,1,place,,,"Wyncote, PA 19095",,,,,Wyncote,PA,"Montgomery County",19095,US,"TIGER/Line® from the US Census Bureau",,
"Triangle Tech Inc-Bethlehem",Bethlehem,Pennsylvania,40.58883,-75.351958,1,place,,,"Bethlehem, PA 18015",,,,,Bethlehem,PA,"Northampton County",18015,US,"TIGER/Line® from the US Census Bureau",,
"Pennsylvania State University-World Campus","University Park",Pennsylvania,40.799672,-77.862339,1,place,,,"University Park, PA 16802",,,,,"University Park",PA,"Centre County",16802,US,"TIGER/Line® from the US Census Bureau",,
"Universidad Adventista de las Antillas",Mayaguez,"Puerto Rico",18.181938,-67.133802,1,place,,,"Mayaguez, PR 00680",,,,,Mayaguez,PR,"Mayagüez Municipio",00680,US,"TIGER/Line® from the US Census Bureau",,
"Atlantic University College",Guaynabo,"Puerto Rico",18.433757,-66.114752,1,place,,,"Guaynabo, PR 00965",,,,,Guaynabo,PR,"Guaynabo Municipio",00965,US,"TIGER/Line® from the US Census Bureau",,
"Universidad Central de Bayamon",Bayam√≥n,"Puerto Rico",18.326702,-66.174176,1,place,,,"Bayamon, PR 00956",,,,,Bayamon,PR,"Bayamón Municipio",00956,US,"TIGER/Line® from the US Census Bureau",,
"Columbia Central University-Caguas",Caguas,"Puerto Rico",18.212965,-66.058033,1,place,,,"Caguas, PR 00726",,,,,Caguas,PR,"Caguas Municipio",00726,US,"TIGER/Line® from the US Census Bureau",,
"Caribbean University-Bayamon",Bayamon,"Puerto Rico",18.326702,-66.174176,1,place,,,"Bayamon, PR 00956",,,,,Bayamon,PR,"Bayamón Municipio",00956,US,"TIGER/Line® from the US Census Bureau",,
"Pontifical Catholic University of Puerto Rico-Arecibo",Arecibo,"Puerto Rico",18.402239,-66.7114,1,place,,,"Arecibo, PR 00612",,,,,Arecibo,PR,"Arecibo Municipio",00612,US,"TIGER/Line® from the US Census Bureau",,
"Pontifical Catholic University of Puerto Rico-Ponce",Ponce,"Puerto Rico",17.990567,-66.607542,1,place,,,"Ponce, PR 00716",,,,,Ponce,PR,"Ponce Municipio",00716,US,"TIGER/Line® from the US Census Bureau",,
"CEM College-San Juan","San Juan","Puerto Rico",18.465299,-66.116666,1,place,,,"San Juan, PR 00901",,,,,"San Juan",PR,"San Juan Municipio",00901,US,"TIGER/Line® from the US Census Bureau",,
"Colegio Universitario de San Juan","San Juan","Puerto Rico",18.465299,-66.116666,1,place,,,"San Juan, PR 00901",,,,,"San Juan",PR,"San Juan Municipio",00901,US,"TIGER/Line® from the US Census Bureau",,
"EDP University of Puerto Rico Inc-San Sebastian","San Sebastian","Puerto Rico",18.3236,-66.972227,1,place,,,"San Sebastian, PR 00685",,,,,"San Sebastian",PR,"San Sebastián Municipio",00685,US,"TIGER/Line® from the US Census Bureau",,
"Escuela de Artes Plasticas y Diseno de Puerto Rico","San Juan","Puerto Rico",18.465299,-66.116666,1,place,,,"San Juan, PR 00901",,,,,"San Juan",PR,"San Juan Municipio",00901,US,"TIGER/Line® from the US Census Bureau",,
"Instituto Tecnologico de Puerto Rico-Recinto de Manati",Manati,"Puerto Rico",18.44553,-66.490268,1,place,,,"Manati, PR 00674",,,,,Manati,PR,"Manatí Municipio",00674,US,"TIGER/Line® from the US Census Bureau",,
"Huertas College",Caguas,"Puerto Rico",18.212965,-66.058033,1,place,,,"Caguas, PR 00726",,,,,Caguas,PR,"Caguas Municipio",00726,US,"TIGER/Line® from the US Census Bureau",,
"Humacao Community College",Humacao,"Puerto Rico",18.138029,-65.788499,1,place,,,"Humacao, PR 00791",,,,,Humacao,PR,"Humacao Municipio",00791,US,"TIGER/Line® from the US Census Bureau",,
"ICPR Junior College-Arecibo",Arecibo,"Puerto Rico",18.402239,-66.7114,1,place,,,"Arecibo, PR 00612",,,,,Arecibo,PR,"Arecibo Municipio",00612,US,"TIGER/Line® from the US Census Bureau",,
"ICPR Junior College-Mayaguez",Mayaguez,"Puerto Rico",18.181938,-67.133802,1,place,,,"Mayaguez, PR 00680",,,,,Mayaguez,PR,"Mayagüez Municipio",00680,US,"TIGER/Line® from the US Census Bureau",,
"Instituto Tecnologico de Puerto Rico-Recinto de Guayama",Guayama,"Puerto Rico",18.010721,-66.133613,1,place,,,"Guayama, PR 00784",,,,,Guayama,PR,"Guayama Municipio",00784,US,"TIGER/Line® from the US Census Bureau",,
"Inter American University of Puerto Rico-San German","San German","Puerto Rico",18.113284,-67.039706,1,place,,,"San German, PR 00683",,,,,"San German",PR,"San Germán Municipio",00683,US,"TIGER/Line® from the US Census Bureau",,
"Inter American University of Puerto Rico-Aguadilla",Aguadilla,"Puerto Rico",18.455913,-67.14578,1,place,,,"Aguadilla, PR 00603",,,,,Aguadilla,PR,"Aguadilla Municipio",00603,US,"TIGER/Line® from the US Census Bureau",,
"Inter American University of Puerto Rico-Arecibo",Arecibo,"Puerto Rico",18.402239,-66.7114,1,place,,,"Arecibo, PR 00612",,,,,Arecibo,PR,"Arecibo Municipio",00612,US,"TIGER/Line® from the US Census Bureau",,
"Inter American University of Puerto Rico-Barranquitas",Barranquitas,"Puerto Rico",18.200898,-66.307236,1,place,,,"Barranquitas, PR 00794",,,,,Barranquitas,PR,"Barranquitas Municipio",00794,US,"TIGER/Line® from the US Census Bureau",,
"Inter American University of Puerto Rico-Ponce",Mercedita,"Puerto Rico",18.011854,-66.563721,1,place,,,"Mercedita, PR 00715",,,,,Mercedita,PR,"Ponce Municipio",00715,US,"TIGER/Line® from the US Census Bureau",,
"Inter American University of Puerto Rico-Fajardo",Fajardo,"Puerto Rico",18.324515,-65.653167,1,place,,,"Fajardo, PR 00738",,,,,Fajardo,PR,"Fajardo Municipio",00738,US,"TIGER/Line® from the US Census Bureau",,
"Inter American University of Puerto Rico-Guayama",Guayama,"Puerto Rico",18.010721,-66.133613,1,place,,,"Guayama, PR 00784",,,,,Guayama,PR,"Guayama Municipio",00784,US,"TIGER/Line® from the US Census Bureau",,
"Inter American University of Puerto Rico-Bayamon",Bayamon,"Puerto Rico",18.326702,-66.174176,1,place,,,"Bayamon, PR 00956",,,,,Bayamon,PR,"Bayamón Municipio",00956,US,"TIGER/Line® from the US Census Bureau",,
"NUC University",Bayamon,"Puerto Rico",18.326702,-66.174176,1,place,,,"Bayamon, PR 00956",,,,,Bayamon,PR,"Bayamón Municipio",00956,US,"TIGER/Line® from the US Census Bureau",,
"University of Puerto Rico-Aguadilla",Aguadilla,"Puerto Rico",18.455913,-67.14578,1,place,,,"Aguadilla, PR 00603",,,,,Aguadilla,PR,"Aguadilla Municipio",00603,US,"TIGER/Line® from the US Census Bureau",,
"University of Puerto Rico-Arecibo",Arecibo,"Puerto Rico",18.402239,-66.7114,1,place,,,"Arecibo, PR 00612",,,,,Arecibo,PR,"Arecibo Municipio",00612,US,"TIGER/Line® from the US Census Bureau",,
"University of Puerto Rico-Bayamon",Bayamon,"Puerto Rico",18.326702,-66.174176,1,place,,,"Bayamon, PR 00956",,,,,Bayamon,PR,"Bayamón Municipio",00956,US,"TIGER/Line® from the US Census Bureau",,
"University of Puerto Rico-Carolina",Carolina,"Puerto Rico",18.379441,-65.957695,1,place,,,"Carolina, PR 00979",,,,,Carolina,PR,"Carolina Municipio",00979,US,"TIGER/Line® from the US Census Bureau",,
"University of Puerto Rico-Cayey",Cayey,"Puerto Rico",18.102967,-66.139274,1,place,,,"Cayey, PR 00737",,,,,Cayey,PR,"Cayey Municipio",00737,US,"TIGER/Line® from the US Census Bureau",,
"University of Puerto Rico-Humacao",Humacao,"Puerto Rico",18.138029,-65.788499,1,place,,,"Humacao, PR 00791",,,,,Humacao,PR,"Humacao Municipio",00791,US,"TIGER/Line® from the US Census Bureau",,
"University of Puerto Rico-Utuado",Utuado,"Puerto Rico",18.250027,-66.698957,1,place,,,"Utuado, PR 00641",,,,,Utuado,PR,"Utuado Municipio",00641,US,"TIGER/Line® from the US Census Bureau",,
"Pontifical Catholic University of Puerto Rico-Mayaguez",Mayaguez,"Puerto Rico",18.181938,-67.133802,1,place,,,"Mayaguez, PR 00680",,,,,Mayaguez,PR,"Mayagüez Municipio",00680,US,"TIGER/Line® from the US Census Bureau",,
"Universidad Ana G. Mendez-Gurabo Campus",Gurabo,"Puerto Rico",18.259092,-65.974641,1,place,,,"Gurabo, PR 00778",,,,,Gurabo,PR,"Gurabo Municipio",00778,US,"TIGER/Line® from the US Census Bureau",,
"ICPR Junior College","Hato Rey","Puerto Rico",18.217648,-66.410799,1,state,,,PR,,,,,,PR,,,US,"TIGER/Line® from the US Census Bureau",,
"Caribbean University-Ponce",Ponce,"Puerto Rico",17.990567,-66.607542,1,place,,,"Ponce, PR 00716",,,,,Ponce,PR,"Ponce Municipio",00716,US,"TIGER/Line® from the US Census Bureau",,
"Caribbean University-Vega Baja","Vega Baja","Puerto Rico",18.443109,-66.398302,1,place,,,"Vega Baja, PR 00693",,,,,"Vega Baja",PR,"Vega Baja Municipio",00693,US,"TIGER/Line® from the US Census Bureau",,
"CEM College-Humacao",Humacao,"Puerto Rico",18.138029,-65.788499,1,place,,,"Humacao, PR 00791",,,,,Humacao,PR,"Humacao Municipio",00791,US,"TIGER/Line® from the US Census Bureau",,
"Mech-Tech College",Caguas,"Puerto Rico",18.212965,-66.058033,1,place,,,"Caguas, PR 00726",,,,,Caguas,PR,"Caguas Municipio",00726,US,"TIGER/Line® from the US Census Bureau",,
"Colegio de Cinematograf√åa Artes y Television",Bayamon,"Puerto Rico",18.326702,-66.174176,1,place,,,"Bayamon, PR 00956",,,,,Bayamon,PR,"Bayamón Municipio",00956,US,"TIGER/Line® from the US Census Bureau",,
"Dewey University-Carolina",Carolina,"Puerto Rico",18.379441,-65.957695,1,place,,,"Carolina, PR 00979",,,,,Carolina,PR,"Carolina Municipio",00979,US,"TIGER/Line® from the US Census Bureau",,
"Atenas College",Manati,"Puerto Rico",18.44553,-66.490268,1,place,,,"Manati, PR 00674",,,,,Manati,PR,"Manatí Municipio",00674,US,"TIGER/Line® from the US Census Bureau",,
"Dewey University-Hato Rey","Hato Rey","Puerto Rico",18.217648,-66.410799,1,state,,,PR,,,,,,PR,,,US,"TIGER/Line® from the US Census Bureau",,
"Dewey University-Juana D√åaz","Juana Diaz","Puerto Rico",17.997367,-66.493218,1,place,,,"Juana Diaz, PR 00795",,,,,"Juana Diaz",PR,"Juana Díaz Municipio",00795,US,"TIGER/Line® from the US Census Bureau",,
"ICPR Junior College",Manati,"Puerto Rico",18.44553,-66.490268,1,place,,,"Manati, PR 00674",,,,,Manati,PR,"Manatí Municipio",00674,US,"TIGER/Line® from the US Census Bureau",,
"Dewey University-Manati",Manati,"Puerto Rico",18.44553,-66.490268,1,place,,,"Manati, PR 00674",,,,,Manati,PR,"Manatí Municipio",00674,US,"TIGER/Line® from the US Census Bureau",,
"New England Institute of Technology","East Greenwich","Rhode Island",41.64335,-71.478002,1,place,,,"East Greenwich, RI 02818",,,,,"East Greenwich",RI,"Kent County",02818,US,"TIGER/Line® from the US Census Bureau",,
"Strayer University-South Carolina",Greenville,"South Carolina",34.848567,-82.402871,1,place,,,"Greenville, SC 29601",,,,,Greenville,SC,"Greenville County",29601,US,"TIGER/Line® from the US Census Bureau",,
"Mitchell Technical College",Mitchell,"South Dakota",43.69591,-98.086401,1,place,,,"Mitchell, SD 57301",,,,,Mitchell,SD,"Davison County",57301,US,"TIGER/Line® from the US Census Bureau",,
"Baptist Health Sciences University",Memphis,Tennessee,35.050667,-89.847782,1,place,,,"Memphis, TN 38101",,,,,Memphis,TN,"Shelby County",38101,US,"TIGER/Line® from the US Census Bureau",,
